path,purpose,classification,required decisions,evidence to gather,agent role,human decision,output destination,dependency,readiness check,sanitized example
".gitignore","Keep local profiles, editions, secrets, and exports out of Git by default","Copy as-is","None","Repository privacy boundary","Preserve exclusions","Whether to override an exclusion for a separate private repository","Repository root","None","Generated profiles and editions remain untracked","A local Harbor Notes profile is ignored"
".github/workflows/verify.yml","Run rule drift, template, and fictional shadow checks on pushes and pull requests","Copy as-is","None","Committed repository state","Execute the public verification commands","Choose whether a proposed change is accepted","GitHub Actions","Stampers, verifiers, and rule map","The Verify workbook job passes","A pull request exercises Harbor Notes without secrets"
"README.md","Explain the concept, audience, outcomes, safety defaults, commands, and canonical source","Copy as-is","Choose whether this workbook fits the project","Current public links and source version","Route the beginner to the shortest correct start","Adopt or decline the workbook","Repository root","VERSION and public companion links","Live marker and links match the released version","A beginner sees the exact kickoff prompt"
"START-HERE.md","Provide the human-readable setup path without requiring folder knowledge","Copy as-is","Choose guided or workbook-only setup","None","Explain the two paths and safety defaults","Choose a setup path","Repository root","SETUP.md and NEW-NEWSLETTER-DISCOVERY.md","Both paths reach the brief approval gate","A reader starts with one page"
"SETUP.md","Define the agent interview, generation sequence, stop gates, and first shadow run","Copy as-is","Approve the brief and later the final profile","Interview answers and any authorized research","Ask small question groups, label evidence, generate only after gates","Approve the exact brief and exact profile","Repository root","NEW-NEWSLETTER-DISCOVERY.md and scripts","Both approval stops and verifier commands are explicit","The agent waits after the Harbor Notes brief"
"NEW-NEWSLETTER-DISCOVERY.md","Collect the decisions and evidence needed for a new publication","Customize for the publication","Audience, promise, positioning, scope, risk, ownership, and authority","Supplied facts and traceable sources","Interview and organize without deciding for the owner","Make every required publication decision","Working notes that become publication-brief.md","SETUP.md","All required decisions are explicit and categories stay separate","Weekend sailors and their maintenance problem"
"DISCUSSION-GUIDE.md","Support a short owner or team walkthrough","Optional","Whether a separate walkthrough is useful","None","Explain the architecture and gates","Choose whether to use the guide","Repository root","START-HERE.md","Conversation does not create approval or authority","A team reviews the two setup gates"
"AGENTS.md","Route Codex and other AGENTS-aware tools into the same setup workflow","Copy as-is","None","Current setup route","Read SETUP.md before acting","Approve brief and profile at the recorded gates","Repository root","SETUP.md and CONTEXT.md","Byte-identical with CLAUDE.md and contains kickoff","Codex opens SETUP.md"
"CLAUDE.md","Route Claude Code into the same setup workflow","Copy as-is","None","Current setup route","Read SETUP.md before acting","Approve brief and profile at the recorded gates","Repository root","SETUP.md and CONTEXT.md","Byte-identical with AGENTS.md and contains kickoff","Claude Code opens SETUP.md"
"CONTEXT.md","Map setup, profile, edition, and rule-change routes","Copy as-is","None","Current folder architecture","Route to one local contract","Own all publication decisions and authority","Repository root","Shared contracts and scripts","Every route names a readable stop condition","A setup request routes to SETUP.md"
"VERSION","Declare the canonical public source version","Copy as-is","Choose a release version","Verified repository state","Keep labels synchronized","Approve the release","Repository root and public companion files","README and Google versions","Every source-version label matches","v1.0.0"
"LICENSE-CODE","License repository scripts under MIT","Copy as-is","Accept the code license when reusing","Copyright holder and year","Preserve the license","Choose whether to reuse code","Repository root","Scripts","Every script carries the MIT SPDX marker","The stamper remains MIT licensed"
"LICENSE-CONTENT","License guides, templates, and case material under CC BY 4.0","Copy as-is","Accept attribution terms when reusing","Copyright holder and license URL","Preserve license and credit","Choose whether to reuse content","Repository root","Guides, templates, and examples","Laladim credit and CC BY 4.0 URL are present","A fork credits Laladim"
"FILE-BUILD-MAP.csv","Map every artifact to purpose, decisions, evidence, ownership, destination, and readiness","Copy as-is","Update when repository artifacts change","Current repository file inventory","Keep classification coverage complete","Confirm classifications that affect privacy or authority","Repository root and public Google Sheet","scripts/verify-template.py","Every public file matches at least one path row","The Sheet mirrors these eleven columns"
"_shared/CONTEXT.md","Route shared-rule changes","Copy as-is","None","Current shared contract set","Point to the owning contract","Approve any authority change","_shared","Other shared contracts","Rule checker reports clean","A safety change routes to safety-contract.md"
"_shared/approval-contract.md","Define brief approval, profile review, and edition receipt gates","Copy as-is","Human approvals and run authorization","Exact approved brief and stage outputs","Enforce gates without inventing approval","Approve brief, profile, and any live boundary","_shared","SETUP.md and stage output contracts","Derived files are checked after change","The owner approves Harbor Notes twice"
"_shared/edition-contract.md","Define fixed stage anatomy and file-based state","Copy as-is","None for normal setup","Stage outputs and receipts","Preserve the nine-stage state model","Authorize only the scope named by the profile","_shared","Edition templates","Edition verifier derives the pickup point","An empty output means not started"
"_shared/safety-contract.md","Define modes, data boundaries, and human publishing authority","Copy as-is","Risk and authority choices remain human","Profile mode and named authority","Stop live work outside configured scope","Approve any supervised pilot or production cutover","_shared","SETUP.md and delivery contract","Shadow profiles make no external write","Harbor Notes stays local-only"
"_shared/skill-interface.md","Define capability slots and verifiable binding forms","Copy as-is","Choose required and optional capabilities","Existing local paths, commands, or explicit procedures","Bind only capabilities that can be proved","Accept any manual limitations","_shared","skill-bindings.md","Unknown prefixes and missing paths fail verification","manual: inspect the local Markdown preview"
"_shared/check-rules.py","Detect stale, missing, or unregistered rule duplication","Copy as-is","Bless only after inspecting affected consumers","Dependency hashes","Run and maintain the rule map","Accept a deliberate no-change blessing","_shared","_shared/rule-map.json","Rule map reports clean","A safety change makes dependent files stale"
"_shared/rule-map.json","Record declared rule dependencies and review blessings","Copy as-is","Choose dependencies for each factory file","Current shared-file hashes","Register new factory files and update reviewed dependencies","Approve the reason for any blessing","_shared","_shared/check-rules.py","No stale, missing, or unregistered factory file","SETUP.md derives from approval and safety"
"_templates/publication/publication-brief.md","Provide the seven-file profile's approved source record","Customize for the publication","All required human publication decisions","Supplied facts, research, interpretations, and decisions","Fill from the interview without inventing content","Approve the complete brief","publications/<publication-id>/publication-brief.md","NEW-NEWSLETTER-DISCOVERY.md","Brief-only verifier passes","Harbor Notes approved brief"
